fips,region,sid,county,state,nis,is_presence,gc,nps,nps_presence,pop,i21,long,lat,group,county_fips,pop_log
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.716875,41.087596,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.722575,41.093596,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.727775,41.100696,09001.1,09001,5.974664566960404
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.76030745,39.29679994,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.714901,39.299366,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.685188,39.297089,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.674613,39.29047,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.651159,39.291594,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.619631,39.310058,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.584765,39.308644,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.569007,39.328744,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.556205,39.335325,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.551626,39.35394,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.535849,39.350617,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.51237208,39.36565614,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.511788,39.365191,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.505276,39.359169,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.494158,39.354613,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.491797,39.351845,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.494122,39.34658,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.493148,39.345527,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.491688,39.343963,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.490377,39.342818,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.479845,39.337472,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.479963,39.336577,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.469324,39.33082,10001.1,10001,5.257164795839777
