i21,nis,is_presence,nps,nps_presence,gc,pop,latitude,longitude,county,state,e_dist,std_nis,std_nps,std_gc,std_pop
1,2,1,0,0,18,932202,40.95909,-74.074522,bergen,NJ,7164.681863156585,1.3619726523740565,-0.6628472209944458,0.5657325412091994,1.5646360276319193
1,1,1,0,0,20,825062,40.439593,-74.407585,middlesex,NJ,7171.849387537874,0.17203865082619663,-0.6628472209944458,0.7838779577962541,1.3055680255731081
1,1,1,1,1,12,325789,41.154785,-74.024772,rockland,NY,7173.383198048208,0.17203865082619663,0.36549519662310564,-0.0887037085519651,0.09830968515954845
1,2,1,0,0,16,556341,40.659871,-74.308696,union,NJ,7175.007410957056,1.3619726523740565,-0.6628472209944458,0.34758712462214453,0.6557919141185088
1,3,1,1,1,15,798975,40.787217,-74.246136,essex,NJ,7176.085781535587,2.5519066539219164,0.36549519662310564,0.23851441632861714,1.2424888117434627
0,1,1,3,1,16,294218,41.755009,-73.739951,dutchess,NY,7181.0611500724835,0.17203865082619663,2.4221800318582085,0.34758712462214453,0.02196998109945209
1,0,0,0,0,15,149527,39.328387,-75.121644,cumberland,NJ,7189.983421284505,-1.0178953507216633,-0.6628472209944458,0.23851441632861714,-0.32789755936994713
1,1,1,0,0,26,367430,40.282503,-74.703724,mercer,NJ,7203.326427413183,0.17203865082619663,-0.6628472209944458,1.4383142075574187,0.19899897649547296
1,1,1,0,0,24,506471,39.802352,-74.961251,camden,NJ,7203.4163762169055,0.17203865082619663,-0.6628472209944458,1.2201687909703638,0.5352046333394075
1,1,1,1,1,17,501826,41.033763,-74.300308,passaic,NJ,7204.305474835033,0.17203865082619663,0.36549519662310564,0.45665983291567197,0.5239728723765256
1,1,1,1,1,12,328934,40.565522,-74.61993,somerset,NJ,7213.695528337384,0.17203865082619663,0.36549519662310564,-0.0887037085519651,0.1059143973723071
1,0,0,0,0,17,291636,39.721019,-75.143708,gloucester,NJ,7224.336202387625,-1.0178953507216633,-0.6628472209944458,0.45665983291567197,0.015726621184239748
