fips,county,state,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,long,lat,group,county_fips
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.235058,41.143996,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.247958,41.126396,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.262358,41.117496,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.286759,41.127896,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.296359,41.125696,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.31186,41.116296,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.33066,41.109996,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.372296,41.10402,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.354231,41.085639,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.387227,41.058247,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.422165,41.047562,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.435063,41.056696,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.450364,41.057096,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.468239,41.051347,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.477364,41.035997,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.493327,41.048173,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.516903,41.038738,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.516766,41.029497,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.522666,41.019297,09001.1,09001
